date,sn,contract_no,stock_symbol,buyer,seller,quantity,rate,amount
2026-05-11,615,2026051105016990,GVL,60,6,11,496.00,"5,456.00"
2026-05-11,616,2026051105016973,GVL,4,54,70,496.10,"34,727.00"
2026-05-11,617,2026051105016893,GVL,14,60,200,494.30,"98,860.00"
2026-05-11,618,2026051105016757,GVL,49,34,12,496.00,"5,952.00"
2026-05-11,619,2026051105016727,GVL,49,70,11,496.00,"5,456.00"
2026-05-11,620,2026051105016938,HATHY,21,58,2,821.00,"1,642.00"
2026-05-11,621,2026051105017012,HDL,46,19,50,"1,175.00","58,750.00"
2026-05-11,622,2026051105016720,HDL,36,49,34,"1,175.00","39,950.00"
2026-05-11,623,2026051105016899,HDL,86,34,25,"1,175.40","29,385.00"
2026-05-11,624,2026051105016721,HDL,46,49,66,"1,175.00","77,550.00"
2026-05-11,625,2026051105016950,HDL,46,51,300,"1,175.00","352,500.00"
2026-05-11,626,2026051105016917,HDL,46,40,46,"1,175.00","54,050.00"
2026-05-11,627,2026051105016916,HDL,46,40,100,"1,175.40","117,540.00"
2026-05-11,628,2026051105016915,HDL,86,40,154,"1,175.50","181,027.00"
2026-05-11,629,2026051105016912,HDL,86,39,21,"1,175.50","24,685.50"
2026-05-11,630,2026051105017125,HHL,41,16,10,386.00,"3,860.00"
2026-05-11,631,2026051105017104,HHL,49,16,315,386.00,"121,590.00"
2026-05-11,632,2026051105017020,HHL,49,46,100,386.00,"38,600.00"
2026-05-11,633,2026051105016997,HHL,58,21,500,386.50,"193,250.00"
2026-05-11,634,2026051105016994,HHL,49,16,30,386.00,"11,580.00"
2026-05-11,635,2026051105016754,HHL,45,26,100,385.50,"38,550.00"
2026-05-11,636,2026051105016749,HHL,49,32,260,386.00,"100,360.00"
2026-05-11,637,2026051105016748,HHL,49,5,100,386.00,"38,600.00"
2026-05-11,638,2026051105016747,HHL,49,64,100,385.90,"38,590.00"
2026-05-11,639,2026051105016738,HHL,95,64,400,385.90,"154,360.00"
2026-05-11,640,2026051105016737,HHL,95,64,500,385.90,"192,950.00"
2026-05-11,641,2026051105016985,HHL,49,32,55,386.00,"21,230.00"
2026-05-11,642,2026051105016976,HHL,19,32,15,386.00,"5,790.00"
2026-05-11,643,2026051105016975,HHL,28,26,49,385.90,"18,909.10"
2026-05-11,644,2026051105016919,HHL,94,32,20,386.00,"7,720.00"
2026-05-11,645,2026051105016755,HHL,49,26,500,385.50,"192,750.00"
2026-05-11,646,2026051105017204,HIDCL,57,4,15,274.00,"4,110.00"
2026-05-11,647,2026051105017040,HIDCL,49,45,10,273.70,"2,737.00"
2026-05-11,648,2026051105016958,HIDCL,38,45,41,273.70,"11,221.70"
2026-05-11,649,2026051105016895,HIDCL,39,4,150,274.00,"41,100.00"
2026-05-11,650,2026051105016812,HIDCL,21,4,10,274.00,"2,740.00"
2026-05-11,651,2026051105016766,HIDCL,94,4,33,274.00,"9,042.00"
2026-05-11,652,2026051105016765,HIDCL,94,42,367,273.90,"100,521.30"
2026-05-11,653,2026051105016722,HIDCL,38,17,380,273.50,"103,930.00"
2026-05-11,654,2026051105017202,HRL,49,46,1,695.00,695.00
2026-05-11,655,2026051105017100,HRL,48,58,25,704.00,"17,600.00"
2026-05-11,656,2026051105017099,HRL,49,58,65,704.00,"45,760.00"
2026-05-11,657,2026051105017098,HRL,49,39,35,704.00,"24,640.00"
2026-05-11,658,2026051105016770,HRL,45,58,40,704.80,"28,192.00"
2026-05-11,659,2026051105016769,HRL,45,40,50,704.60,"35,230.00"
2026-05-11,660,2026051105016768,HRL,45,39,100,704.50,"70,450.00"
2026-05-11,661,2026051105016739,HRL,49,38,10,704.00,"7,040.00"
2026-05-11,662,2026051105016828,HRL,14,22,30,704.00,"21,120.00"
2026-05-11,663,2026051105016827,HRL,49,22,30,704.00,"21,120.00"
2026-05-11,664,2026051105016821,HRL,49,52,10,704.00,"7,040.00"
2026-05-11,665,2026051105017013,HRL,19,39,100,704.00,"70,400.00"
2026-05-11,666,2026051105016995,HRL,58,39,30,704.00,"21,120.00"
2026-05-11,667,2026051105016949,HRL,49,72,1,703.00,703.00
2026-05-11,668,2026051105016911,HRL,14,39,120,704.00,"84,480.00"
2026-05-11,669,2026051105017054,HRL,49,39,30,704.00,"21,120.00"
2026-05-11,670,2026051105017210,IHL,91,26,86,395.00,"33,970.00"
2026-05-11,671,2026051105017209,IHL,91,38,214,395.00,"84,530.00"
2026-05-11,672,2026051105017184,IHL,25,38,500,395.00,"197,500.00"
2026-05-11,673,2026051105017123,IHL,50,38,200,395.00,"79,000.00"
2026-05-11,674,2026051105016968,IHL,54,38,150,395.00,"59,250.00"
2026-05-11,675,2026051105016761,IHL,96,59,114,395.00,"45,030.00"
2026-05-11,676,2026051105016898,IHL,57,38,100,395.00,"39,500.00"
2026-05-11,677,2026051105016806,IHL,91,38,200,395.00,"79,000.00"
2026-05-11,678,2026051105016762,IHL,96,38,636,395.00,"251,220.00"
2026-05-11,679,2026051105017041,ILI,20,58,12,442.10,"5,305.20"
